Date,US,UK,Switzerland,Sweden,Spain,Singapore,Norway,Netherlands,Japan,Italy,HongKong,Germany,France,Denmark,Canada,Belgium,Austria,Australia
11/19/2010,1145.567506,1127.557871,3736.955952,6418.412495,538.6317,4148.863242,2712.634481,2006.739012,2356.174103,330.49587,8851.757832,1717.027522,1530.612968,5315.318777,1744.939328,1111.706662,1446.651888,831.207915
11/22/2010,1144.177024,1116.831742,3734.031916,6363.896299,521.178321,4151.03847,2689.227938,1992.859697,2370.813784,323.147491,8762.80543,1705.282073,1509.054958,5272.821446,1743.172175,1100.813207,1433.23152,835.476154
11/23/2010,1127.77257,1092.638406,3652.280266,6211.504443,497.564195,4014.111654,2603.336643,1919.664134,2385.531348,312.641737,8543.994395,1653.962973,1455.345382,5185.435956,1720.411136,1065.471456,1377.332235,817.250528
11/24/2010,1144.728531,1100.693426,3684.052784,6317.877827,498.380544,4034.227997,2633.072121,1926.288452,2349.218006,311.240058,8618.81662,1678.156484,1460.813989,5196.907758,1754.337952,1064.997285,1373.40017,821.590476
11/25/2010,1144.728531,1107.326444,3690.760017,6374.838803,496.501841,4072.059079,2633.877175,1930.154342,2350.637321,310.685862,8628.282933,1689.405038,1463.892495,5165.209152,1764.343103,1066.618776,1380.285159,820.98394
11/26/2010,1136.21047,1090.959213,3662.927306,6294.637792,481.242697,4024.583862,2573.948937,1892.520762,2329.876289,305.380391,8569.877627,1661.970049,1436.313627,5090.841104,1736.376056,1044.130008,1361.114443,806.658829
11/29/2010,1134.618062,1062.810903,3621.813213,6243.918646,464.970595,4022.67493,2529.253997,1832.626877,2342.164444,294.696326,8684.65813,1609.333273,1388.691267,4974.017169,1728.982699,1011.338339,1325.682241,805.882694
11/30/2010,1127.500395,1061.235494,3590.339157,6264.084408,458.940506,4022.826451,2523.550079,1802.346277,2321.039731,290.409235,8675.48994,1598.611035,1372.641692,4971.397635,1731.739957,996.272094,1297.060387,800.459376
12/1/2010,1151.800241,1082.737868,3620.092866,6446.056111,482.235702,4097.955556,2613.966015,1854.719956,2324.312262,298.100667,8809.28988,1647.741176,1400.845364,5085.824058,1771.612529,1024.350567,1353.664054,804.570295
12/2/2010,1166.285851,1105.402343,3695.843253,6594.911328,500.529399,4120.374601,2706.908958,1901.643913,2362.306536,307.758444,8845.200184,1686.070699,1442.586205,5196.17966,1799.126486,1051.438563,1391.150878,828.999667
12/3/2010,1169.580925,1112.873724,3746.408681,6727.254358,511.936491,4113.960101,2757.9065,1937.577049,2404.508637,313.193433,8810.394468,1711.919971,1467.251447,5242.480517,1802.86066,1065.325991,1411.719761,844.932713
12/6/2010,1168.298006,1115.306184,3701.661161,6667.012809,500.624316,4109.512412,2775.402068,1916.224919,2407.669352,308.226372,8750.204134,1702.607587,1456.590874,5229.818293,1811.712199,1054.867133,1402.652658,844.266995
12/7/2010,1168.808489,1132.138204,3738.232821,6688.547852,503.736344,4133.487516,2787.931561,1944.626534,2386.685692,312.424015,8806.908059,1721.69185,1486.315653,5277.993239,1807.179342,1065.250971,1418.241712,853.085414
12/8/2010,1172.589845,1126.476044,3734.726324,6591.526793,507.238539,4103.506067,2776.782518,1928.845426,2374.981356,313.460778,8764.567548,1696.838905,1478.589702,5240.2217,1784.12954,1051.359356,1404.425426,835.354911
12/9/2010,1176.831526,1125.898079,3764.905031,6526.174381,512.176659,4125.345399,2756.39851,1943.754842,2396.025984,314.178022,8763.559372,1687.697368,1482.867422,5163.900406,1788.657428,1046.143806,1429.672927,848.97728
12/10/2010,1183.870825,1131.448975,3770.146152,6578.080753,509.506001,4109.241429,2765.803225,1951.939597,2385.798387,314.717579,8723.825356,1705.198554,1487.470827,5312.697381,1799.67587,1053.062877,1429.933845,852.742682
12/13/2010,1183.871066,1145.371749,3825.325484,6672.768719,516.626053,4118.243418,2816.710597,1976.815492,2417.057547,321.01653,8788.847325,1733.401269,1519.232516,5393.771749,1818.065272,1067.362985,1467.565128,863.316654
12/14/2010,1185.093685,1146.088196,3856.85426,6750.069586,517.342049,4128.636812,2816.982703,1976.805192,2432.352757,322.376449,8821.258581,1731.750263,1522.41308,5392.027698,1810.310288,1065.788288,1460.073677,869.265147
12/15/2010,1179.022544,1132.280192,3863.807246,6767.9276,506.996922,4050.247815,2800.483112,1960.387688,2417.941402,316.738395,8663.35936,1723.162177,1507.737637,5390.660462,1809.176113,1058.351335,1454.148594,862.771305
12/16/2010,1186.378604,1129.882385,3829.847921,6733.928178,501.998449,4027.959759,2786.101913,1950.953011,2412.367108,313.046992,8559.650499,1706.989177,1495.886752,5326.276494,1799.664967,1045.923902,1437.864952,858.793355
12/17/2010,1187.864479,1119.256723,3812.477322,6741.87274,493.464996,4051.060213,2807.645819,1941.75751,2415.32791,307.746465,8606.517703,1691.032219,1484.900987,5369.423321,1794.364913,1037.8856,1431.066644,855.53315
12/20/2010,1190.929509,1125.181794,3830.180918,6733.579716,496.485096,4017.175917,2821.6646,1939.098063,2416.621498,310.933715,8565.114232,1694.637398,1485.656909,5317.555779,1775.250182,1039.240241,1445.684178,856.075338
12/21/2010,1197.989947,1134.932281,3879.223117,6844.844946,508.728296,4044.380975,2870.072313,1962.804831,2438.686821,317.138991,8689.727608,1713.480214,1505.344167,5352.903453,1803.426381,1051.456397,1471.082635,868.108148
12/22/2010,1201.856149,1134.935691,3897.855127,6782.153028,505.70614,4059.608534,2882.256563,1957.329369,2446.14592,316.361405,8729.396787,1706.771743,1499.49833,5322.847058,1811.175088,1046.024708,1476.130119,872.174752
